continent,location,lat,long,total_cases,total_deaths,case_fatality_rate,total_tests,positive_rate,hospital_beds_per_thousand,num_physicians_per_thousand,handwashing_facilities,gdp_per_capita,current_health_exp_%gdp,govt_health_exp_%totalgovtexp,population,population_density,0_to_14(%),15_to_64(%),65_and_above(%),extreme_poverty,human_development_index,annual_intl_arrivals_thousands,total_cases_log,total_deaths_log,total_tests_log,gdp_per_capita_log,population_log,population_density_log,annual_intl_arrivals_thou_log
Europe,Liechtenstein,47.14,9.55,2649,56,0.021140052850132124,2843469,0.036,2.397,33.33,86.979,32415.131999999998,7.231300000000001,13.6175,38137,237.012,15.13545128,64.70613601,20.15841271,0.7,0.919,85,7.88193748927207,4.02535169073515,14.86053534361224,10.386380629789606,10.548940218483393,5.468110772764721,4.442651256490317
Europe,Lithuania,55.1694,23.8813,213447,3539,0.01658022834708382,2283127,0.064,6.56,63.53,97.164,29524.265000000003,6.4576,12.7744,2722291,45.135000000000005,15.13545128,64.70613601,20.15841271,0.7,0.882,2825,12.271143837273565,8.171599480345463,14.641056552523635,10.292967746598205,14.816984363165696,3.8096579987501182,7.946263643580541
Europe,Luxembourg,49.8153,6.1296,60465,738,0.012205408087323245,2342279,0.023,4.51,30.09,97.164,94277.965,5.4811000000000005,10.7956,625976,231.447,15.70723484,70.01781628000002,14.274948879999998,0.2,0.916,1018,11.009819964219377,6.6039438246004725,14.666634944994126,11.454002772175622,13.347067310689143,5.4443509056304755,6.925595197110468
Asia,Macao,22.1667,113.55,177135,284,0.0032599890965835225,3483259,0.048,2,24.85,95.803,104861.85100000001,4.4404,8.4938,649342,20546.766000000003,14.712611769999999,78.76249412,2.5188097289999996,0.2,0.89,12045,12.084667432703492,5.648974238161206,15.06347890776637,11.5603990580783,13.383714821450024,9.930458835277292,9.396404915048972
Africa,Madagascar,-18.766947,46.869107,23424,381,0.016265368852459015,134665,0.17200000000000001,0.2,1.81,50.54,1416.44,5.502,15.021299999999998,27691019,43.95099999999999,40.36683998,56.58909589,3.044064128,77.6,0.528,291,10.061516416761037,5.942799375126701,11.810545491960967,7.255901960448988,17.136618694758944,3.7830753770008925,5.673323267171493
Africa,Malawi,-13.254299999999999,34.3015,33458,1113,0.03326558670572061,214525,0.07800000000000001,1.3,0.36,8.703999999999999,1095.042,9.648199999999997,9.775500000000001,19129955,197.51899999999998,43.46868847,53.88928734999999,2.642024179,71.4,0.48300000000000004,871,10.418046199891226,7.014814351275545,12.276181560675322,6.998547997679406,16.766765989087478,5.285834782245655,6.769641976852503
Asia,Malaysia,4.210483999999999,101.975766,340642,1251,0.003672477263520059,7372592,0.028,1.9,15.360000000000001,94.576,26808.164,3.8593999999999995,8.9278,32365998,96.254,23.694979150000005,69.38424954000001,6.920771309,0.1,0.81,25832,12.73858735141115,7.1316985104669115,15.813279898400085,10.196461746975277,17.292618985265726,4.566990530745924,10.15936931243811
Asia,Maldives,3.2028,73.2207,23403,66,0.0028201512626586335,621663,0.028999999999999998,3.6,45.63,95.803,15183.616,9.03,21.7775,540542,1454.433,19.90967185,76.44932791000001,3.641000239,0.7,0.74,1484,10.060619498256424,4.189654742026425,13.340153424251225,9.627972230751203,13.200327618870396,7.282371412934783,7.302496423727326
Africa,Mali,17.570691999999998,-3.9961659999999997,9773,376,0.038473344929908934,440609,0.07300000000000001,0.1,1.29,52.232000000000006,2014.306,3.794,5.785200000000001,20250834,15.196,47.30469699999999,50.20017519000001,2.4951278180000003,38,0.43400000000000005,14,9.187378760338836,5.929589143389895,12.995913139832634,7.608029998182221,16.823706535853923,2.7210322353253793,2.6390573296152584
Europe,Malta,35.9375,14.375400000000003,28808,385,0.013364343237989447,795647,0.047,4.485,28.6,97.164,36513.323,9.341,16.4762,441539,1454.037,14.32879475,64.85403249999999,20.817172750000005,0.2,0.895,2599,10.268408405328712,5.953243334287785,13.586910899129116,10.50543248666792,12.998021630345663,7.282099104812335,7.8628820346414905
Oceania,Marshall Islands,7.1315,171.18449999999999,4,34,0.015384615384615385,233820,0.001,2.7,4.23,82.502,3819.2019999999998,16.4029,9.487400000000001,59194,295.15000000000003,37.864097369999996,57.673351520000004,3.6308099299999994,13.2,0.704,7,1.3862943611198906,3.5263605246161616,12.36230686756081,8.247796779254307,10.98857546438435,5.687483701686698,1.9459101490553132
Africa,Mauritania,21.007900000000003,-10.9408,17756,448,0.02523090786213111,233820,0.024,1.4,1.87,15.950000000000001,3597.6330000000003,4.403200000000001,6.0656,4649660,4.289000000000001,39.888914320000005,56.95484185999999,3.1562438129999992,6,0.546,156,9.784478765953926,6.104793232414985,12.36230686756081,8.188031408196283,15.352304656610697,1.4560536055347435,5.049856007249537
Africa,Mauritius,-20.348404,57.55215200000001,871,10,0.011481056257175661,1102728,0.043000000000000003,3.4,25.330000000000002,44.6,20292.745000000003,5.7187,9.9685,1271767,622.9619999999999,17.25970884,70.74156394000003,11.99872723,0.5,0.804,1399,6.769641976852503,2.302585092994046,13.91329766764349,9.91801871198859,14.055917830002784,6.43448552174258,7.243512974665482
North America,Mexico,23.634500000000003,-102.55279999999999,2224904,201429,0.09053379381762089,5540712,0.233,1.3800000000000001,23.830000000000002,87.84700000000001,17336.469,5.5165,11.048599999999999,128932753,66.44400000000002,26.18511815,66.39822125,7.416660604000001,2.5,0.779,41313,14.615224326584244,12.21319224095635,15.527633570321093,9.760567596380481,18.674801531831047,4.196359487628831,10.628932499395235
Oceania,Micronesia (country),7.4256,150.5508,1,34,0.015384615384615385,233820,0.001,2.61,1.94,35.89,3299.464,4.684899999999999,9.155000000000001,115021,150.777,37.864097369999996,57.673351520000004,3.6308099299999994,16,0.62,116,0,3.5263605246161616,12.36230686756081,8.101515310019902,11.6528699993701,5.015801924047614,4.7535901911063645
Europe,Moldova,47.41159999999999,28.3699,225660,4785,0.021204466897101835,764199,0.29900000000000004,5.8,28.74,86.979,5189.972,6.9953,12.8232,4033963,123.65499999999999,15.889691070000001,72.09718982000001,12.01311911,0.2,0.75,1711,12.326784720692437,8.473241303887054,13.54658350543611,8.554483581155015,15.210259825416552,4.817495429866422,7.444833273892193
Europe,Monaco,43.73330000000001,7.4167000000000005,2254,28,0.012422360248447204,2342279,0.036,13.8,75.07,85.198,48472.545,1.7727,6.7499,39244,19347.5,16.400958720000006,64.51118404000002,19.60531972,0.2,0.9440000000000001,347,7.720461694599722,3.332204510175204,14.666634944994126,10.788752834166171,10.577553845283282,9.870318491144614,5.849324779946859
