"International inbound tourists (thousands)"
"Dimension: Mobility and communication"
"SDG 8.9 By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products"
"Definition: Arrivals of nonresident visitors (overnight visitors, tourists, sameday visitors and excursionists) at national borders."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"161"," Nigeria","1031","","1492","","2778","","6113","","3765","","4673","","4038","","4803","","6017","","5265","","..","","..","","5265","a"
"82"," North Macedonia","147","","224","","197","","262","","327","","351","","400","","425","","486","","510","","631","","707","","707","a"
"1"," Norway","2880","","3104","","3824","","4767","","4963","","4538","","4778","","4855","","5361","","5960","","6252","","5688","","5688","a"
"60"," Oman","..","","..","","891","","1441","","1018","","1241","","1392","","1611","","1909","","2335","","2316","","2301","","2301","a"
"154"," Pakistan","378","","557","","798","","907","","1161","","966","","..","","..","","..","","..","","..","","..","","966","a"
"50"," Palau","53","","58","","81","","85","","111","","120","","108","","140","","162","","138","","123","","106","","106","a"
"115"," Palestine, State of","..","","310","","88","","522","","449","","490","","545","","556","","432","","400","","503","","606","","606","a"
"57"," Panama","345","","484","","702","","1324","","1473","","1606","","1658","","1745","","2110","","1921","","1843","","1785","","1785","a"
"155"," Papua New Guinea","42","","58","","69","","140","","158","","168","","174","","182","","183","","179","","139","","140","","140","a"
"103"," Paraguay","438","","289","","341","","465","","524","","579","","610","","649","","1215","","1308","","1584","","1181","","1181","a"
"79"," Peru","479","","800","","1571","","2299","","2598","","2846","","3164","","3215","","3456","","3744","","4032","","4419","","4419","a"
"107"," Philippines","1760","","1992","","2623","","3520","","3917","","4273","","4681","","4833","","5361","","5967","","6621","","7168","","7168","a"
"35"," Poland","19215","","17400","","15200","","12470","","13350","","14840","","15800","","16000","","16728","","17471","","18258","","19622","","19622","a"
"38"," Portugal","4572","","5599","","5769","","6756","","7264","","7503","","9177","","10497","","11723","","13359","","15432","","16186","","16186","a"
"45"," Qatar","..","","..","","..","","1700","","2057","","2324","","2612","","2839","","2941","","2938","","2257","","1819","","1819","a"
"49"," Romania","5445","","5264","","5839","","7498","","7611","","7937","","8019","","8442","","9331","","10223","","10926","","11720","","11720","a"
"52"," Russian Federation","10290","","21169","","22201","","22281","","24932","","28177","","30792","","32421","","33729","","24571","","24390","","24551","","24551","a"
"160"," Rwanda","..","","104","","..","","504","","688","","815","","864","","926","","987","","932","","..","","..","","932","a"
"74"," Saint Kitts and Nevis","79","","73","","141","","98","","104","","104","","107","","113","","118","","116","","115","","125","","125","a"
"86"," Saint Lucia","231","","270","","318","","306","","312","","307","","319","","338","","345","","348","","386","","395","","395","a"
"97"," Saint Vincent and the Grenadines","60","","73","","96","","72","","74","","74","","72","","71","","75","","79","","76","","80","","80","a"
"111"," Samoa","68","","88","","102","","122","","121","","126","","116","","120","","128","","134","","146","","164","","164","a"
".."," San Marino","28","","43","","50","","120","","156","","139","","71","","75","","54","","60","","78","","84","","84","a"
"135"," Sao Tome and Principe","6","","7","","16","","8","","12","","..","","..","","..","","26","","29","","29","","33","","33","a"
"40"," Saudi Arabia","3325","","6585","","8037","","10850","","14179","","16332","","15772","","18260","","17994","","18044","","16109","","15334","","15334","a"
"168"," Senegal","..","","..","","769","","900","","968","","962","","1063","","963","","1007","","1210","","1365","","..","","1365","a"
"64"," Serbia","..","","..","","453","","683","","764","","810","","922","","1029","","1132","","1281","","1497","","1711","","1711","a"
"67"," Seychelles","121","","130","","129","","175","","194","","208","","230","","233","","276","","303","","350","","362","","362","a"
"182"," Sierra Leone","14","","16","","40","","39","","52","","60","","81","","44","","24","","55","","51","","57","","57","a"
"11"," Singapore","6070","","6062","","7079","","9161","","10390","","11098","","11899","","11864","","12051","","12913","","13903","","14673","","14673","a"
